timeindex,Mid-electricity-load-profile,South-electricity-load-profile,North-electricity-load-profile
2015-03-30T11:00:00Z,61733.7960099039,6582.46210193507,12734.1945535623
2015-03-30T12:00:00Z,60044.6703404916,6138.22425075435,12459.6148901593
2015-03-30T13:00:00Z,58919.5473832209,6258.96109412504,12177.5330501605
2015-03-30T14:00:00Z,58099.9659292911,6325.32027521428,11932.2118754807
2015-03-30T15:00:00Z,58301.7386201765,6213.79998477265,11896.2014278213
2015-03-30T16:00:00Z,58412.2331889947,6137.30259546144,11869.9438097363
2015-03-30T17:00:00Z,59201.068328123,6003.66257799007,12093.5086722885
2015-03-30T18:00:00Z,60185.9112241114,6075.55169083674,12408.6000893084
2015-03-30T19:00:00Z,57377.4275314537,6394.44442218223,12068.7514895226
2015-03-30T20:00:00Z,55452.9003893417,6685.68749474055,11533.0960805888
2015-03-30T21:00:00Z,51662.4562677083,6369.55972927377,11001.9419776123
2015-03-30T22:00:00Z,47465.5842972913,5973.24795332417,10455.7835214445
2015-03-30T23:00:00Z,44811.7930009791,5299.51793420984,10250.9741003815
2015-03-31T00:00:00Z,43317.7142660894,4828.55207953484,10179.7034227222
2015-03-31T01:00:00Z,43302.3411086886,4451.59506473626,10143.6929750628
2015-03-31T02:00:00Z,44151.7080550825,4248.83090029693,10252.4745357007
2015-03-31T03:00:00Z,44516.8205433514,4168.6468898141,10431.0263386786
2015-03-31T04:00:00Z,45168.25808821,4101.36605343196,10721.3605729327
2015-03-31T05:00:00Z,47367.5804188612,4079.24632640222,11167.7400803776
2015-03-31T06:00:00Z,51105.1793119295,4167.7252345212,11697.3937480349
2015-03-31T07:00:00Z,53580.2576534574,4188.92330625804,12073.2527954801
2015-03-31T08:00:00Z,54566.0613717834,4667.26240327628,12116.0152020756
2015-03-31T09:00:00Z,55049.3550075709,5093.06714859888,11878.9464216511
2015-03-31T10:00:00Z,54114.474873135,5243.29696134257,11647.8793825032
2015-03-31T11:00:00Z,52289.8732541282,5296.75296833112,11444.5703967594
2015-03-31T12:00:00Z,50493.1354829103,5235.92371899932,11217.2544459093
2015-03-31T13:00:00Z,50010.8026694604,5039.61114161033,11069.4615669737
2015-03-31T14:00:00Z,49746.5765266342,5017.49141458058,11068.7113493142
2015-03-31T15:00:00Z,50848.6397478037,4877.39981005886,11180.4937805903
2015-03-31T16:00:00Z,52170.731284272,4761.2712431527,11289.2753412281
2015-03-31T17:00:00Z,53023.9415200162,4750.21137963783,11528.5947746313
2015-03-31T18:00:00Z,53891.5640908235,4892.14629474536,12112.2641137778
2015-03-31T19:00:00Z,51957.428725336,5312.42110831052,11808.4259616514
2015-03-31T20:00:00Z,50992.7630984361,5993.5243697681,11403.3084254829
2015-03-31T21:00:00Z,47191.7499310896,5698.59467603816,10916.4171644212
2015-03-31T22:00:00Z,43925.9148057583,5446.98278107481,10644.0881539968
2015-03-31T23:00:00Z,41327.851205024,5067.26080039751,10458.0341744232
2015-04-01T00:00:00Z,40067.2522981588,4460.81161766532,10444.5302565509
2015-04-01T01:00:00Z,39963.4834857035,4121.64246987589,10501.5467986783
2015-04-01T02:00:00Z,40466.9543905795,3909.6617525075,10579.5694352737
2015-04-01T03:00:00Z,40240.2003189178,3813.80960204527,10702.6051314434
2015-04-01T04:00:00Z,39154.4710774866,3707.81924336107,10788.8801622941
2015-04-01T05:00:00Z,39728.0820130038,3724.40903863338,11017.6965484633
2015-04-01T06:00:00Z,42683.5715233066,3773.2567691574,11420.5634316531
2015-04-01T07:00:00Z,45253.771276252,3590.769021162,11683.139612503
2015-04-01T08:00:00Z,46674.8275134879,3976.94258888964,11754.4102901623
2015-04-01T09:00:00Z,48617.6102800134,4346.52636134497,11699.6444010136
2015-04-01T10:00:00Z,48270.7534161579,4556.66376812755,11542.0986925036
2015-04-01T11:00:00Z,46474.0156449401,4743.75979258748,11250.2640229304
2015-04-01T12:00:00Z,44426.5032436217,4731.77827377971,11046.9550371866
2015-04-01T13:00:00Z,43042.9190775502,4437.77023534267,10908.9149878255
2015-04-01T14:00:00Z,42893.99161523,4355.74291427403,10890.9097639958
2015-04-01T15:00:00Z,44048.9000649647,4205.51310153035,10962.9306593146
2015-04-01T16:00:00Z,46139.6494714728,4199.06151448,11228.5077108028
2015-04-01T17:00:00Z,47997.8798722938,4233.16276031753,11620.121329099
2015-04-01T18:00:00Z,51303.1087134647,4422.10209536327,12355.3346354789
2015-04-01T19:00:00Z,50919.7406007824,4904.12781355314,12102.5112842034
2015-04-01T20:00:00Z,51064.8247737524,5582.466109132,11537.5973865462
2015-04-01T21:00:00Z,47419.4648250889,5431.3146410954,11058.9585197397
2015-04-01T22:00:00Z,44177.6502581963,5317.02938477505,10695.1029548477
2015-04-01T23:00:00Z,41907.2270745665,4827.63042424194,10600.5755297417
2015-04-02T00:00:00Z,41151.0598949149,4366.80277778891,10537.5572463377
2015-04-02T01:00:00Z,41672.7864242043,4068.18646288734,10677.097731018
2015-04-02T02:00:00Z,44027.7619735386,3871.87388549835,10820.3893039961
2015-04-02T03:00:00Z,47807.637049459,3843.30257141826,11510.5895508016
2015-04-02T04:00:00Z,54263.4023354552,3836.85098436792,12705.6862824986
2015-04-02T05:00:00Z,58849.4073525798,4001.82728179811,13829.5123365364
2015-04-02T06:00:00Z,61991.2963963672,4394.45243657609,14068.08155228
2015-04-02T07:00:00Z,62734.0120632931,4845.14187480715,13914.2869320679
2015-04-02T08:00:00Z,63321.074511536,5871.8658711045,13773.9962297281
2015-04-02T09:00:00Z,64230.012442858,6344.67503636531,13599.9457327076
2015-04-02T10:00:00Z,63151.9697801272,6505.96471262387,13396.6367469638
2015-04-02T11:00:00Z,62422.705625927,6678.3142523973,13210.5827673901
2015-04-02T12:00:00Z,61409.9988821497,6336.38013872915,12960.0100690933
2015-04-02T13:00:00Z,60262.7770111154,6413.79918333326,12872.984820583
2015-04-02T14:00:00Z,58595.7502554667,6514.25961026002,12628.4138635628
2015-04-02T15:00:00Z,58462.1959505473,6412.87752804036,12598.4051571799
2015-04-02T16:00:00Z,58826.3476164786,6317.94703287103,12500.8768614357
