timeindex,Mid-pv-profile,South-pv-profile,North-pv-profile
2016-01-11T08:00:00Z,0.025800826122772,0.090270282233188,0
2016-01-11T09:00:00Z,0.051214354851678,0.252271551224853,0.008866348660295
2016-01-11T10:00:00Z,0.070670577872439,0.385820407858532,0.020934434336807
2016-01-11T11:00:00Z,0.072890540069605,0.461501873225988,0.027584195832028
2016-01-11T12:00:00Z,0.072302214462103,0.491882055853108,0.022412159113523
2016-01-11T13:00:00Z,0.048533809025801,0.492180055908392,0.006157186569649
2016-01-11T14:00:00Z,0.019920114708684,0.45359300450214,0.000492574925572
2016-01-11T15:00:00Z,0.002029112627258,0.338562345994123,0
2016-01-11T16:00:00Z,0,0.152547019450153,0
2016-01-11T17:00:00Z,0,0.030886519004239,0
2016-01-11T18:00:00Z,0,0.001566478166711,0
2016-01-11T19:00:00Z,0,0,0
2016-01-11T20:00:00Z,0,0,0
2016-01-11T21:00:00Z,0,0,0
2016-01-11T22:00:00Z,0,0,0
2016-01-11T23:00:00Z,0,0,0
2016-01-12T00:00:00Z,0,0,0
2016-01-12T01:00:00Z,0,0,0
2016-01-12T02:00:00Z,0,0,0
2016-01-12T03:00:00Z,0,0,0
2016-01-12T04:00:00Z,0,0,0
2016-01-12T05:00:00Z,0,0,0
2016-01-12T06:00:00Z,0,0,0
2016-01-12T07:00:00Z,0,0.009485895565083,0
2016-01-12T08:00:00Z,0.02773476843117,0.127686430767352,0
2016-01-12T09:00:00Z,0.070949981642784,0.373349237403354,0.033002520013319
2016-01-12T10:00:00Z,0.101632485297701,0.544182384139657,0.056892403903558
2016-01-12T11:00:00Z,0.1096003276083,0.622920327950241,0.066990189877782
2016-01-12T12:00:00Z,0.146552621333824,0.649653306360928,0.057138691366344
2016-01-12T13:00:00Z,0.103427489119206,0.637216419097951,0.014530960304372
2016-01-12T14:00:00Z,0.053013175664581,0.583687170229437,0.000738862388358
2016-01-12T15:00:00Z,0.004006059705409,0.465805732431497,0
2016-01-12T16:00:00Z,0,0.239149000117861,0
2016-01-12T17:00:00Z,0,0.053761319708027,0
2016-01-12T18:00:00Z,0,0.002249504842095,0
2016-01-12T19:00:00Z,0,0,0
2016-01-12T20:00:00Z,0,0,0
2016-01-12T21:00:00Z,0,0,0
2016-01-12T22:00:00Z,0,0,0
2016-01-12T23:00:00Z,0,0,0
2016-01-13T00:00:00Z,0,0,0
2016-01-13T01:00:00Z,0,0,0
2016-01-13T02:00:00Z,0,0,0
2016-01-13T03:00:00Z,0,0,0
2016-01-13T04:00:00Z,0,0,0
2016-01-13T05:00:00Z,0,0,0
2016-01-13T06:00:00Z,0,0,0
2016-01-13T07:00:00Z,0,0.010461647958488,0
2016-01-13T08:00:00Z,0.012784885455069,0.143235177014705,0
2016-01-13T09:00:00Z,0.03336355841298,0.413850873235586,0.03842084419461
2016-01-13T10:00:00Z,0.05320249843793,0.579457151745591,0.062310728084849
2016-01-13T11:00:00Z,0.065256302807205,0.643674845074845,0.069699351968428
2016-01-13T12:00:00Z,0.117114456874705,0.658316405313193,0.065019890175495
2016-01-13T13:00:00Z,0.09154646722722,0.651678651869403,0.032509945087747
2016-01-13T14:00:00Z,0.04879921716102,0.609520874137012,0.00123143731393
2016-01-13T15:00:00Z,0.006788646434663,0.495220711339735,0
2016-01-13T16:00:00Z,0,0.257888720408513,0
2016-01-13T17:00:00Z,0,0.056920647727757,0
