timeindex;s_be;s_bb;w_be;w_bb;h_bb;demand-profile-be;demand-profile-bb
2016-01-08 21:00:00;0.0;0.0;0.414;0.3898;0.45;1652.922184;1905.5374539999998
2016-01-08 22:00:00;0.0;0.0;0.2944;0.2876;0.45;1588.2819279999999;1831.018259
2016-01-08 23:00:00;0.0;0.0;0.1989;0.1939;0.45;1502.9989779999999;1732.701559
2016-01-09 00:00:00;0.0;0.0;0.1389;0.1269;0.45;1388.786123;1601.0336109999998
2016-01-09 01:00:00;0.0;0.0;0.0939;0.0773;0.45;1346.144649;1551.875261
2016-01-09 02:00:00;0.0;0.0;0.0634;0.0492;0.45;1325.501956;1528.0777560000001
2016-01-09 03:00:00;0.0;0.0;0.0369;0.0326;0.45;1332.282402;1535.894455
2016-01-09 04:00:00;0.0;0.0;0.0237;0.0286;0.45;1344.0351759999999;1549.443399
2016-01-09 05:00:00;0.0;0.0;0.0226;0.0349;0.45;1286.778072;1483.435721
2016-01-09 06:00:00;0.0;0.0;0.0241;0.046;0.45;1245.191334;1435.4933019999999
2016-01-09 07:00:00;0.0058;0.0145;0.0286;0.0624;0.45;1326.707369;1529.467391
2016-01-09 08:00:00;0.0661;0.1038;0.0346;0.0625;0.45;1433.085041;1652.10271
2016-01-09 09:00:00;0.1827;0.2242;0.0341;0.0426;0.45;1527.408586;1760.841675
2016-01-09 10:00:00;0.2515;0.2965;0.0309;0.0389;0.45;1573.364945;1813.821522
2016-01-09 11:00:00;0.2539;0.3107;0.0371;0.0463;0.45;1640.7173810000002;1891.467396
2016-01-09 12:00:00;0.222;0.2727;0.0517;0.0527;0.45;1551.215487;1788.286973
2016-01-09 13:00:00;0.1452;0.1741;0.0964;0.0849;0.45;1505.409804;1735.48083
2016-01-09 14:00:00;0.0339;0.0412;0.1993;0.1672;0.45;1485.5204939999999;1712.551847
2016-01-09 15:00:00;0.0;0.0;0.2824;0.2436;0.45;1452.823674;1674.857988
2016-01-09 16:00:00;0.0;0.0;0.2829;0.251;0.45;1523.943024;1756.846473
2016-01-09 17:00:00;0.0;0.0;0.2591;0.2304;0.45;1654.730304;1907.621907
2016-01-09 18:00:00;0.0;0.0;0.2371;0.2064;0.45;1670.099316;1925.3397579999998
2016-01-09 19:00:00;0.0;0.0;0.2087;0.1805;0.45;1648.5525630000002;1900.5000260000002
2016-01-09 20:00:00;0.0;0.0;0.1684;0.1517;0.45;1523.189641;1755.977951
2016-01-09 21:00:00;0.0;0.0;0.1327;0.13;0.45;1419.072118;1635.948199
2016-01-09 22:00:00;0.0;0.0;0.0976;0.1059;0.45;986.6303065999999;1137.416522
2016-01-09 23:00:00;0.0;0.0;0.0699;0.0862;0.45;763.1769247000001;879.8128719
2016-01-10 00:00:00;0.0;0.0;0.065;0.0811;0.45;698.6873445;805.4673813999999
2016-01-10 01:00:00;0.0;0.0;0.0701;0.0808;0.45;661.1688738;762.2149816000001
2016-01-10 02:00:00;0.0;0.0;0.0659;0.08;0.45;682.2635962999999;786.5336
2016-01-10 03:00:00;0.0;0.0;0.0711;0.09;0.45;701.0981699;808.2466521000001
2016-01-10 04:00:00;0.0;0.0;0.0827;0.1035;0.45;647.3066276000001;746.2341752
2016-01-10 05:00:00;0.0;0.0;0.0914;0.1165;0.45;527.5187391;608.1391637999999
2016-01-10 06:00:00;0.0;0.0;0.1093;0.1355;0.45;386.03342169999996;445.0307162
2016-01-10 07:00:00;0.0009;0.0022;0.1337;0.1562;0.45;400.64905089999996;461.8800447
2016-01-10 08:00:00;0.0133;0.0223;0.1397;0.1589;0.45;474.6312562;547.1689134
2016-01-10 09:00:00;0.0211;0.0364;0.1506;0.1647;0.45;940.3725937;1084.089266
2016-01-10 10:00:00;0.0318;0.0477;0.1719;0.1815;0.45;1503.3003310000001;1733.048968
2016-01-10 11:00:00;0.0418;0.0442;0.2129;0.2075;0.45;1624.5949859999998;1872.8810239999998
2016-01-10 12:00:00;0.0115;0.0197;0.2274;0.233;0.45;1551.96887;1789.155495
2016-01-10 13:00:00;0.0052;0.0123;0.244;0.2494;0.45;1447.3993169999999;1668.604629
2016-01-10 14:00:00;0.0047;0.0114;0.233;0.2658;0.45;1430.372862;1648.97603
2016-01-10 15:00:00;0.0;0.0;0.3094;0.2928;0.45;1400.5388970000001;1614.582556
2016-01-10 16:00:00;0.0;0.0;0.2633;0.2721;0.45;1454.179763;1676.421328
2016-01-10 17:00:00;0.0;0.0;0.2026;0.2524;0.45;1607.719208;1853.426129
2016-01-10 18:00:00;0.0;0.0;0.20800000000000002;0.2308;0.45;1627.156488;1875.833999
2016-01-10 19:00:00;0.0;0.0;0.1443;0.1901;0.45;1597.02117;1841.093115
2016-01-10 20:00:00;0.0;0.0;0.11199999999999999;0.1605;0.45;1474.21975;1699.524016
2016-01-10 21:00:00;0.0;0.0;0.1149;0.1653;0.45;1392.703715;1605.549926
2016-01-10 22:00:00;0.0;0.0;0.1194;0.1649;0.45;1422.08565;1639.4222869999999
2016-01-10 23:00:00;0.0;0.0;0.1276;0.149;0.45;1325.803309;1528.425165
2016-01-11 00:00:00;0.0;0.0;0.1236;0.1316;0.45;1268.847558;1462.764895
2016-01-11 01:00:00;0.0;0.0;0.1356;0.1137;0.45;1235.548032;1424.376219
2016-01-11 02:00:00;0.0;0.0;0.11;0.1;0.45;1236.452092;1425.4184460000001
2016-01-11 03:00:00;0.0;0.0;0.069;0.0956;0.45;1265.080644;1458.4222849999999
2016-01-11 04:00:00;0.0;0.0;0.048;0.0894;0.45;1336.5013470000001;1540.758178
2016-01-11 05:00:00;0.0;0.0;0.0357;0.0745;0.45;1424.195122;1641.854149
2016-01-11 06:00:00;0.0;0.0;0.02;0.0548;0.45;1633.484904;1883.129584
2016-01-11 07:00:00;0.0017;0.0028;0.008;0.0369;0.45;1829.0631170000001;2108.597917
2016-01-11 08:00:00;0.0275;0.0349;0.0064;0.0284;0.45;1916.756892;2209.693888
2016-01-11 09:00:00;0.0585;0.0702;0.0143;0.0214;0.45;1916.606216;2209.520184
2016-01-11 10:00:00;0.0908;0.1085;0.005;0.0105;0.45;1909.072386;2200.834963
2016-01-11 11:00:00;0.1346;0.1377;0.0006;0.0053;0.45;1920.82516;2214.383907
2016-01-11 12:00:00;0.136;0.1313;0.0054;0.0052;0.45;1886.772251;2175.126709
2016-01-11 13:00:00;0.0716;0.0698;0.018000000000000002;0.0137;0.45;1853.623401;2136.911737
2016-01-11 14:00:00;0.0095;0.01;0.0309;0.0309;0.45;1827.2549980000001;2106.513464
2016-01-11 15:00:00;0.0;0.0;0.0359;0.0516;0.45;1818.365079;2096.264904
2016-01-11 16:00:00;0.0;0.0;0.0909;0.0932;0.45;1867.485648;2152.8925440000003
2016-01-11 17:00:00;0.0;0.0;0.1793;0.1392;0.45;1919.619747;2212.994272
2016-01-11 18:00:00;0.0;0.0;0.1853;0.1327;0.45;1919.9211010000001;2213.341681
2016-01-11 19:00:00;0.0;0.0;0.1877;0.1036;0.45;1896.2648760000002;2186.070087
